,distance,TICKER,y,Effective_Duration,wkil
119,-0.219677331,COLOM,0.503420123,0.505873308,9.70E-15
121,-0.219677331,COLOM,0.50176898,0.505873468,9.70E-15
313,-1.321135065,UKRGB,1.953584245,0.559152995,0
294,-1.188469523,ARGENT,1.733397315,0.579079352,0
276,-0.907757866,LEBGB,1.363141008,0.585570596,0
226,-0.489396624,BRAZIL,0.41667333,0.791060505,1.32E-66
37,0.129623356,MEX,0.664543623,0.791788725,0.000117169
168,-0.108871113,URUGUA,0.398542408,0.795685373,1.24E-05
118,-0.219677331,COLOM,0.307075093,0.815410169,0
296,-1.188469523,ARGENT,1.879480263,0.902144271,0
72,-0.062281254,INDOGB,0.50926453,0.929102048,0.165060744
91,-0.062281254,INDOGB,0.381369123,0.929111926,0
342,-2.439769286,VENZ,-0.228333844,0.949847412,0
250,-0.907757866,LEBGB,1.428513236,0.95424027,3.74E-229
343,-2.439769286,VENZ,0.432680668,0.97565313,0
48,-0.247058871,RFLB,0.750455614,0.992784151,4.37E-17
60,-0.247058871,RFLB,0.750455614,0.992784151,4.37E-17
131,-0.36157023,CROTB,1.081555213,1.035662853,1.43E-36
136,-0.36157023,CROTB,1.081555213,1.035662853,1.43E-36
162,-0.108871113,URUGUA,0.034471246,1.072818566,0
314,-1.321135065,UKRGB,1.932424899,1.079468713,0
94,-0.062281254,INDOGB,0.559215356,1.103556148,0.171663174
280,-0.934078193,PAKGB,1.162429905,1.12705389,6.39E-243
284,-0.934078193,PAKGB,1.162429905,1.12705389,6.39E-243
344,-2.439769286,VENZ,0.655064517,1.130049322,0
247,-0.748362709,JAMAN,0.283973847,1.157510554,0
181,-0.349924785,SATB,0.682484823,1.178107164,2.69E-35
298,-1.188469523,ARGENT,1.878185877,1.189886059,0
154,-0.250531985,TURKGB,0.805748346,1.242083296,1.63E-17
273,-0.907757866,LEBGB,1.564933644,1.467259838,1.93E-229
297,-1.188469523,ARGENT,1.856859997,1.476188272,0
315,-1.321135065,UKRGB,1.954563462,1.619038619,0
89,-0.062281254,INDOGB,1.072881851,1.712369981,0.313615414
70,-0.062281254,INDOGB,1.129295283,1.712390907,0.313615414
171,-0.108871113,URUGUA,1.561103832,1.807854438,7.03E-06
160,-0.108871113,URUGUA,0.460513323,1.809426411,0
22,0.022099384,HIBTB,1.169006062,1.839940108,1.033166137
156,-0.250531985,TURKGB,1.444055289,1.863584243,1.63E-17
295,-1.188469523,ARGENT,1.764219868,1.935111246,0
244,-0.748362709,JAMAN,1.395610861,2.05957775,3.98E-156
271,-0.907757866,LEBGB,1.690942871,2.081784505,1.74E-229
51,-0.247058871,RFLB,1.617846337,2.095692154,7.58E-17
55,-0.247058871,RFLB,1.617846337,2.095692154,7.58E-17
3,0,PANAMA,1.731445851,2.100441641,1.96098372
1,0,PANAMA,1.716254009,2.100490316,1.96098372
13,0,PANAMA,1.715747469,2.100491926,1.96098372
336,-2.439769286,VENZ,2.146434895,2.148466522,0
349,-2.439769286,VENZ,2.138047874,2.14927235,0
292,-1.188469523,ARGENT,1.606981566,2.37460331,0
278,-0.907757866,LEBGB,1.65546653,2.442812894,2.55E-229
337,-2.439769286,VENZ,2.327268321,2.444478718,0
200,0.716345922,RPGB,1.148888597,2.506881368,4.86E-143
68,-0.062281254,INDOGB,1.370306267,2.596253759,0.330121489
87,-0.062281254,INDOGB,1.345285624,2.596445492,0.330121489
227,-0.489396624,BRAZIL,1.165917703,2.603328828,1.13E-66
46,-0.247058871,RFLB,1.610610833,2.676498142,3.28E-17
63,-0.247058871,RFLB,1.610509696,2.676696029,3.28E-17
107,0.043833818,PERUGB,1.036331556,2.69656894,0
279,-0.934078193,PAKGB,1.570487025,2.710036461,8.52E-243
285,-0.934078193,PAKGB,1.570253997,2.710607842,8.52E-243
153,-0.250531985,TURKGB,1.587355909,2.722035464,1.09E-17
116,-0.219677331,COLOM,1.391806868,2.732661515,1.55E-13
176,-0.108871113,URUGUA,1.053925534,2.750442475,0
178,-0.108871113,URUGUA,1.034202151,2.750530496,0
41,0.129623356,MEX,0.979236179,2.777319537,0
267,-0.907757866,LEBGB,1.637093272,2.798404976,1.25E-229
23,0.022099384,HIBTB,1.502645229,2.849096143,1.116035408
277,-0.907757866,LEBGB,1.647586983,2.852243744,1.62E-229
179,-0.349924785,SATB,1.613266431,2.852687649,3.82E-34
212,0.716345922,RPGB,1.165769893,2.869107513,6.98E-143
240,-0.748362709,JAMAN,1.68431698,2.878351236,1.30E-156
175,-0.108871113,URUGUA,0.076534088,3.010814928,0
191,0.44281892,POLAND,1.451025661,3.010998478,2.34E-54
12,0,PANAMA,1.677137225,3.034595605,0.711789571
312,-1.321135065,UKRGB,-0.916203634,3.038011791,0
321,-1.321135065,UKRGB,1.835667084,3.049056418,0
323,-1.321135065,UKRGB,1.830630451,3.049363148,0
222,-0.489396624,BRAZIL,1.292765457,3.056963867,4.62E-67
340,-2.439769286,VENZ,2.217070895,3.058538287,0
220,-0.489396624,BRAZIL,1.679641232,3.157177027,1.36E-67
151,-0.250531985,TURKGB,1.639383732,3.175013253,1.09E-17
128,-0.36157023,CROTB,1.667640855,3.200627212,1.43E-36
126,-0.219677331,COLOM,1.646203775,3.311124995,6.18E-14
43,0.129623356,MEX,0.48178015,3.312892294,0
275,-0.907757866,LEBGB,1.645994737,3.314515011,3.74E-229
174,-0.108871113,URUGUA,1.373652875,3.399483997,1.00E-05
177,-0.108871113,URUGUA,0.803846058,3.406810624,0
211,0.716345922,RPGB,1.271672094,3.437795498,4.57E-143
19,0.022099384,HIBTB,1.702756511,3.462963879,2.85133815
40,0.129623356,MEX,1.307546274,3.485757317,8.16E-05
10,0,PANAMA,1.303759415,3.52176447,2.959623994
258,-0.907757866,LEBGB,1.687029336,3.542720109,2.99E-229
265,-0.907757866,LEBGB,1.703239531,3.565775919,1.74E-229
183,-0.349924785,SATB,1.739621315,3.602099807,3.82E-34
67,-0.062281254,INDOGB,1.506487332,3.60305236,0.330121489
86,-0.062281254,INDOGB,1.488709347,3.603292152,0.330121489
155,-0.250531985,TURKGB,1.691716725,3.664163916,1.45E-17
50,-0.247058871,RFLB,1.679913613,3.684116676,7.66E-17
61,-0.247058871,RFLB,1.679774858,3.684521276,7.66E-17
266,-0.907757866,LEBGB,1.720505888,3.723042825,1.50E-229
299,-1.188469523,ARGENT,1.544044415,3.769092251,0
310,-1.321135065,UKRGB,1.797003825,3.787214032,0
129,-0.36157023,CROTB,1.728819505,3.78748239,1.19E-36
324,-1.321135065,UKRGB,1.792761036,3.787730512,0
134,-0.36157023,CROTB,1.72859556,3.788153921,1.19E-36
311,-1.321135065,UKRGB,-0.869564322,4.00986585,0
338,-2.439769286,VENZ,2.028114185,4.038224,0
234,0.70806378,CHILBT,1.414488499,4.043196108,7.90E-140
333,-2.439769286,VENZ,2.095078625,4.063125631,0
255,-0.907757866,LEBGB,1.740933309,4.110824955,5.21E-229
251,-0.907757866,LEBGB,1.735665721,4.111502111,5.21E-229
93,-0.062281254,INDOGB,1.643256947,4.276642683,0.004126519
20,0.022099384,HIBTB,1.781090419,4.285458376,4.331146557
