,distance,TICKER,y,Effective_Duration,wkil
311,1.154918007,COLOM,1.878015461,0.505873308,0
312,1.154918007,COLOM,1.876364318,0.505873468,0
278,-1.495064338,UKRGB,1.779654972,0.559152995,0
31,-0.823810109,ARGENT,2.098056729,0.579079352,0
105,-0.933342207,LEBGB,1.337556667,0.585570596,0
347,-0.692688116,BRAZIL,0.213381839,0.791060505,0
48,0.112404433,MEX,0.6473247,0.791788725,0
74,0.917105261,URUGUA,1.424518782,0.795685373,0
321,1.154918007,COLOM,1.681670431,0.815410169,0
29,-0.823810109,ARGENT,2.244139677,0.902144271,0
259,-0.193732674,INDOGB,0.37781311,0.929102048,0
252,-0.193732674,INDOGB,0.249917703,0.929111926,0
148,-2.253926517,VENZ,-0.042491076,0.949847412,0
110,-0.933342207,LEBGB,1.402928895,0.95424027,0
147,-2.253926517,VENZ,0.618523436,0.97565313,0
183,-0.064394803,RFLB,0.933119682,0.992784151,0
197,-0.064394803,RFLB,0.933119682,0.992784151,0
300,-0.395613655,CROTB,1.047511788,1.035662853,0
308,-0.395613655,CROTB,1.047511788,1.035662853,0
68,0.917105261,URUGUA,1.06044762,1.072818566,0
279,-1.495064338,UKRGB,1.758495626,1.079468713,0
254,-0.193732674,INDOGB,0.427763936,1.103556148,0
57,-0.892302963,PAKGB,1.204205135,1.12705389,0
61,-0.892302963,PAKGB,1.204205135,1.12705389,0
146,-2.253926517,VENZ,0.840907285,1.130049322,0
136,-0.8418484,JAMAN,0.190488156,1.157510554,0
200,-0.30966211,SATB,0.722747497,1.178107164,0
27,-0.823810109,ARGENT,2.242845291,1.189886059,0
172,-0.329323729,TURKGB,0.726956602,1.242083296,0
102,-0.933342207,LEBGB,1.539349304,1.467259838,0
28,-0.823810109,ARGENT,2.221519411,1.476188272,0
280,-1.495064338,UKRGB,1.780634189,1.619038619,0
258,-0.193732674,INDOGB,0.941430431,1.712369981,0
251,-0.193732674,INDOGB,0.997843863,1.712390907,0
80,0.917105261,URUGUA,2.587080206,1.807854438,0
79,0.917105261,URUGUA,1.486489697,1.809426411,0
212,-0.068424933,HIBTB,1.078481745,1.839940108,0
175,-0.329323729,TURKGB,1.365263544,1.863584243,0
30,-0.823810109,ARGENT,2.128879282,1.935111246,0
132,-0.8418484,JAMAN,1.302125171,2.05957775,0
101,-0.933342207,LEBGB,1.66535853,2.081784505,0
186,-0.064394803,RFLB,1.800510405,2.095692154,0
192,-0.064394803,RFLB,1.800510405,2.095692154,0
16,0,PANAMA,1.731445851,2.100441641,1.96098372
2,0,PANAMA,1.716254009,2.100490316,1.96098372
11,0,PANAMA,1.715747469,2.100491926,1.96098372
154,-2.253926517,VENZ,2.332277663,2.148466522,0
138,-2.253926517,VENZ,2.323890643,2.14927235,0
33,-0.823810109,ARGENT,1.97164098,2.37460331,0
107,-0.933342207,LEBGB,1.629882189,2.442812894,0
153,-2.253926517,VENZ,2.513111089,2.444478718,0
218,0.641102195,RPGB,1.073644871,2.506881368,0
250,-0.193732674,INDOGB,1.238854847,2.596253759,0
274,-0.193732674,INDOGB,1.213834205,2.596445492,0
346,-0.692688116,BRAZIL,0.962626212,2.603328828,0
181,-0.064394803,RFLB,1.793274901,2.676498142,0
194,-0.064394803,RFLB,1.793173764,2.676696029,0
94,0.064523349,PERUGB,1.057021087,2.69656894,0
55,-0.892302963,PAKGB,1.612262254,2.710036461,0
62,-0.892302963,PAKGB,1.612029226,2.710607842,0
173,-0.329323729,TURKGB,1.508564165,2.722035464,0
319,1.154918007,COLOM,2.766402206,2.732661515,0
76,0.917105261,URUGUA,2.079901908,2.750442475,0
77,0.917105261,URUGUA,2.060178525,2.750530496,0
46,0.112404433,MEX,0.962017256,2.777319537,0
119,-0.933342207,LEBGB,1.611508931,2.798404976,0
210,-0.068424933,HIBTB,1.412120912,2.849096143,0
106,-0.933342207,LEBGB,1.622002642,2.852243744,0
206,-0.30966211,SATB,1.653529105,2.852687649,0
233,0.641102195,RPGB,1.090526167,2.869107513,0
127,-0.8418484,JAMAN,1.59083129,2.878351236,0
75,0.917105261,URUGUA,1.102510463,3.010814928,0
88,0.141632153,POLAND,1.149838894,3.010998478,0
12,0,PANAMA,1.677137225,3.034595605,0.711789571
277,-1.495064338,UKRGB,-1.090132907,3.038011791,0
294,-1.495064338,UKRGB,1.661737811,3.049056418,0
293,-1.495064338,UKRGB,1.656701178,3.049363148,0
343,-0.692688116,BRAZIL,1.089473966,3.056963867,0
150,-2.253926517,VENZ,2.402913663,3.058538287,0
334,-0.692688116,BRAZIL,1.476349741,3.157177027,0
171,-0.329323729,TURKGB,1.560591988,3.175013253,0
304,-0.395613655,CROTB,1.63359743,3.200627212,0
324,1.154918007,COLOM,3.020799113,3.311124995,0
53,0.112404433,MEX,0.464561227,3.312892294,0
104,-0.933342207,LEBGB,1.620410396,3.314515011,0
78,0.917105261,URUGUA,2.399629249,3.399483997,0
72,0.917105261,URUGUA,1.829822432,3.406810624,0
232,0.641102195,RPGB,1.196428368,3.437795498,0
215,-0.068424933,HIBTB,1.612232194,3.462963879,0
45,0.112404433,MEX,1.29032735,3.485757317,0
3,0,PANAMA,1.303759415,3.52176447,2.959623994
98,-0.933342207,LEBGB,1.661444995,3.542720109,0
121,-0.933342207,LEBGB,1.67765519,3.565775919,0
205,-0.30966211,SATB,1.779883989,3.602099807,0
248,-0.193732674,INDOGB,1.375035912,3.60305236,0
273,-0.193732674,INDOGB,1.357257928,3.603292152,0
177,-0.329323729,TURKGB,1.61292498,3.664163916,0
185,-0.064394803,RFLB,1.862577681,3.684116676,0
